field.frameNumber,field.x_m,field.y_m,field.z_m
650080,0.602688425240639,0.318792231651337,6.53E-05
650081,0.602679958694904,0.318800060065151,6.53E-05
650082,0.602663519136758,0.318817188973824,6.53E-05
650083,0.602649228451914,0.318826255065083,6.53E-05
650084,0.602627226302414,0.318845416263714,6.53E-05
650085,0.602603397932068,0.318857910995765,6.53E-05
650086,0.602582547402355,0.318868770711617,6.53E-05
650087,0.602571682309426,0.31888758077656,6.53E-05
650088,0.60254680886808,0.318892700134219,6.53E-05
650089,0.602522983913768,0.318905908727197,6.53E-05
650090,0.60249572915073,0.318911060530931,6.53E-05
650091,0.602480740838528,0.318914280371102,6.53E-05
650092,0.602459287733797,0.318922201058637,6.53E-05
650093,0.602428770012363,0.318934864439747,6.53E-05
650094,0.602400706836449,0.318945441592942,6.53E-05
650095,0.602371904392275,0.318951313038639,6.53E-05
650096,0.602349928998918,0.318959427148244,6.53E-05
650097,0.602325945881672,0.318972584663087,6.53E-05
650098,0.602292751844962,0.318978368192382,6.53E-05
650099,0.602259888487889,0.318988306838485,6.54E-05
650100,0.602239612323307,0.318991471214761,6.54E-05
650101,0.602212315475672,0.319001709755888,6.54E-05
650102,0.602194283061063,0.319008662720624,6.54E-05
650103,0.602165741266054,0.319013879954598,6.54E-05
650104,0.602142758398865,0.319018247671339,6.54E-05
650105,0.602117519412393,0.319030446253864,6.54E-05
650106,0.602098665384556,0.319020522995074,6.54E-05
650107,0.602076577556255,0.319032583593155,6.54E-05
650108,0.602059303497873,0.319037251474367,6.54E-05
650109,0.60204382063739,0.319046878189442,6.54E-05
650110,0.602021802318069,0.319057790691712,6.54E-05
650111,0.602005007837425,0.319057504752277,6.54E-05
650112,0.601993531175634,0.319056598712283,6.54E-05
650113,0.601979074549201,0.319065761976402,6.54E-05
650114,0.60195557994051,0.319075523424207,6.54E-05
650115,0.60193630765797,0.31907913568392,6.54E-05
650116,0.60193361505203,0.319082900775792,6.54E-05
650117,0.601933074449437,0.319081056944371,6.54E-05
650118,0.601918562486865,0.319085040631754,6.54E-05
650119,0.601915475088326,0.319087695639323,6.54E-05
650120,0.601908180594558,0.319089126310215,6.54E-05
650121,0.601900293266346,0.319093035629389,6.54E-05
650122,0.601894219219598,0.319098946063308,6.54E-05
650123,0.601892032897327,0.319105819801707,6.54E-05
650124,0.601880995045847,0.319111903705386,6.54E-05
650125,0.601871972562171,0.319113362400734,6.54E-05
650126,0.60186844731182,0.319114721468226,6.54E-05
650127,0.6018596156768,0.319121946076859,6.54E-05
650128,0.601854883846878,0.319125760896696,6.54E-05
650129,0.601843373312261,0.31913481832938,6.54E-05
650130,0.601839308973053,0.319140646591975,6.54E-05
650131,0.601833771142072,0.319149332373219,6.54E-05
650132,0.601824689463931,0.319151984634763,6.54E-05
650133,0.601824763993595,0.319152767640222,6.54E-05
650134,0.60181166920521,0.319159903865973,6.54E-05
650135,0.601805990364338,0.319160181494537,6.54E-05
650136,0.601803641146724,0.319167010763433,6.54E-05
650137,0.601800978705921,0.319179164399157,6.54E-05
650138,0.601793255859039,0.319176060008374,6.54E-05
650139,0.601797395280111,0.319182649464653,6.54E-05
650140,0.601792470772481,0.319186531548151,6.54E-05
650141,0.601802263195052,0.319186920938274,6.54E-05
650142,0.601802981117403,0.31918652853071,6.54E-05
650143,0.601812620499359,0.319187444979954,6.54E-05
650144,0.601810399207328,0.319188378123818,6.54E-05
650145,0.601822933798512,0.319192722578915,6.54E-05
650146,0.601825354334952,0.319189346049408,6.54E-05
650147,0.601831938821706,0.31919616576254,6.54E-05
650148,0.601841149636929,0.319187935480977,6.54E-05
650149,0.601854594883563,0.319190770518308,6.54E-05
650150,0.601853588695865,0.319189176694659,6.54E-05
650151,0.601861104207724,0.319181341277229,6.54E-05
650152,0.601868808916714,0.319179990086389,6.54E-05
650153,0.601876870834896,0.31917353536607,6.54E-05
650154,0.601881915221889,0.319171400100873,6.54E-05
650155,0.601895209740069,0.319162882719771,6.54E-05
650156,0.601897240932068,0.319157433349141,6.54E-05
650157,0.601905772069523,0.319157266217602,6.54E-05
650158,0.601908146074902,0.319158638246516,6.54E-05
650159,0.601910900680253,0.319157045083755,6.54E-05
650160,0.601917512790257,0.31914754790262,6.54E-05
650161,0.601932286949242,0.319152837329489,6.54E-05
650162,0.601935388248228,0.319152564386855,6.54E-05
650163,0.60193626484097,0.319156332748936,6.54E-05
650164,0.601942479041183,0.319155155592927,6.54E-05
650165,0.601939733222207,0.319152166776675,6.54E-05
650166,0.601936651209058,0.319147416567447,6.54E-05
650167,0.601936176639294,0.319150624260545,6.54E-05
650168,0.601932679560442,0.319155104112175,6.54E-05
650169,0.601936780426917,0.31915834051519,6.54E-05
650170,0.601937544583212,0.319161089624918,6.54E-05
650171,0.601930547360238,0.319171284199054,6.54E-05
650172,0.601928237490294,0.319180248640148,6.54E-05
650173,0.601933417454109,0.319182507249154,6.54E-05
650174,0.601942363551298,0.319192587321901,6.54E-05
650175,0.601933003780708,0.319198520837114,6.54E-05
650176,0.601934758950188,0.319205386564281,6.54E-05
650177,0.601939045827376,0.319208510249847,6.54E-05
650178,0.601941123098829,0.319217700550804,6.54E-05
650179,0.601931677462629,0.319229612837812,6.54E-05
650180,0.601932832890585,0.319246275500119,6.55E-05
650181,0.601934309469599,0.319252394750647,6.55E-05
650182,0.601932821073308,0.319266823322009,6.55E-05
